dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
diabetes,6,b1,ε-SVR (MSE),SVR-MSE,baseline,40.61670094195344,58.78891293751668,21.63000022368074,0.5294748517405898,3591.8976219095593,0.3976745202638714,0.46415888336127786,NA,0.266,7.0665385267680465,NA,NA,NA,NA,NA
diabetes,6,b2,Random Forest,RF,baseline,43.54329558505994,63.04636676614904,22.61929807985906,0.5353724423852275,3579.891969214239,0.3996877487242667,NA,NA,NA,NA,NA,2,NA,NA,NA
diabetes,6,b3,XGBoost,XGB,baseline,42.150514915696846,61.550654706862794,22.004754721620976,0.5315525904514674,3720.212905841499,0.3761573243169851,NA,NA,NA,NA,NA,NA,101,0.052438033237946435,3
diabetes,6,b4,Linear Regression,LR,baseline,40.89470691154361,63.81392103314993,20.976325694787988,0.4963567329439367,3219.325429265685,0.460151168624261,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,6,b5,WLS (1/y²),WLS,baseline,37.78096726380724,46.37318087595001,21.71450472691414,0.655927323986626,5949.856736437772,0.0022682463786678486,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,6,b6,Log-SVR,Log-SVR,baseline,38.47571953003176,57.787834567192256,20.432892943457105,0.5370794767915329,3957.3383917594397,0.3363937405244005,1,0.1,NA,0.224,NA,NA,NA,NA,NA
diabetes,6,b7a,QR (τ = 0.5),QR,baseline,40.608215827196794,64.51026087134531,20.769869908939775,0.48914458959822904,3139.2598356823946,0.4735773717463241,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,7,m1,SVR-MAPE,SVR-MAPE,psvr,36.254787057815115,46.25001950028451,20.70741850157152,0.5449655545389288,3587.5972151579635,0.3600362461868569,88.89886866889712,0.8400471557644017,7.942644657342854,0.00792573847416619,NA,NA,NA,NA,NA
diabetes,7,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,38.56788603371587,50.84863962573197,21.526300556788186,0.556162954813682,3774.145807835849,0.3267592837858695,99.2819098176432,0.09252135609110686,4.853315247170832,0.021227214119141902,odd,NA,NA,NA,NA
diabetes,7,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,43.24130501501445,50.33899424976301,24.77951038389102,0.8144502758033573,9191.402395799416,-0.6395832718261034,99.97335001898952,NA,2.7301838017582245,0.06707894647014483,NA,NA,NA,NA,NA
diabetes,7,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,43.16802138958451,50.25570768672637,24.74647473339431,0.8135536455881444,9167.373496612689,-0.6352969421181407,99.26920630294312,NA,3.1789642642705025,0.04947647069463687,NA,NA,NA,NA,NA
diabetes,7,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,43.23494292774714,50.318430383852466,24.78096848080383,0.8153885575161408,9220.658451671276,-0.6448020336364917,99.49683136875726,NA,3.0942054032923814,0.052224191346393986,odd,NA,NA,NA,NA
diabetes,7,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,43.22348231885322,50.30548284460748,24.775869414809435,0.8152207668878314,9215.444237834905,-0.6438719103088761,99.79392315843656,NA,3.1905936036169975,0.049116456136307766,odd,NA,NA,NA,NA
diabetes,7,b1,ε-SVR (MSE),SVR-MSE,baseline,45.46318172470662,69.10447757556662,22.782920138407505,0.5537149506178153,3984.4320344418356,0.28924794823644584,0.6123485274595744,NA,0.26634396765973456,7.048298269909767,NA,NA,NA,NA,NA
diabetes,7,b2,Random Forest,RF,baseline,43.86943856913378,64.08495222345239,22.5932564027644,0.5292447263584797,3368.114897190537,0.39918800143646627,NA,NA,NA,NA,NA,3,NA,NA,NA
diabetes,7,b3,XGBoost,XGB,baseline,43.331873891011334,62.45595506409091,22.533276558979956,0.531956903335843,3463.5583152341896,0.382162587371057,NA,NA,NA,NA,NA,NA,101,0.05080479494574185,3
diabetes,7,b4,Linear Regression,LR,baseline,45.9800886723535,70.29118352207713,22.9257973616417,0.529824205776186,3392.6461581763297,0.3948120592878026,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,7,b5,WLS (1/y²),WLS,baseline,37.70497950950484,43.842592971195685,22.04766687287857,0.6229027235258748,4761.746574513647,0.15058881201677687,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,7,b6,Log-SVR,Log-SVR,baseline,43.77381371401768,66.26572824396588,22.32642695911169,0.5689403724685969,4458.6839845287595,0.20464980635237484,1,0.1,NA,0.224,NA,NA,NA,NA,NA
diabetes,7,b7a,QR (τ = 0.5),QR,baseline,46.26025011380455,70.79032839027032,23.08028688073966,0.536028358690939,3478.6642461067345,0.379467957052695,NA,NA,NA,NA,NA,NA,NA,NA,NA
